"","NOC","Medal","Year","Sport","Event","City"
"9087","HUN","Silver",1964,"Athletics","Athletics Men's Javelin Throw","Tokyo"
"9088","HUN","Bronze",1968,"Athletics","Athletics Men's Javelin Throw","Mexico City"
"9089","HUN","Gold",1968,"Fencing","Fencing Men's epee, Individual","Mexico City"
"9090","HUN","Bronze",1972,"Fencing","Fencing Men's epee, Individual","Munich"
"9091","HUN","Bronze",1976,"Fencing","Fencing Men's epee, Individual","Montreal"
"9092","POL","Gold",1964,"Boxing","Boxing Men's Light-Welterweight","Tokyo"
"9093","POL","Gold",1968,"Boxing","Boxing Men's Light-Welterweight","Mexico City"
"9094","BLR","Bronze",2012,"Weightlifting","Weightlifting Women's Heavyweight","London"
"9095","CZE","Gold",2012,"Cycling","Cycling Men's Mountainbike, Cross-Country","London"
"9096","CZE","Silver",2016,"Cycling","Cycling Men's Mountainbike, Cross-Country","Rio de Janeiro"
"9097","RUS","Bronze",1996,"Swimming","Swimming Men's 100 metres Butterfly","Atlanta"
"9098","UKR","Silver",2016,"Shooting","Shooting Men's Air Rifle, 10 metres","Rio de Janeiro"
"9099","JPN","Silver",1920,"Tennis","Tennis Men's Singles","Antwerpen"
"9100","IND","Bronze",2008,"Wrestling","Wrestling Men's Welterweight, Freestyle","Beijing"
"9101","IND","Silver",2012,"Wrestling","Wrestling Men's Welterweight, Freestyle","London"
"9102","IND","Silver",2012,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","London"
"9103","GER","Gold",1996,"Athletics","Athletics Women's Shot Put","Atlanta"
"9104","GER","Bronze",2000,"Athletics","Athletics Women's Shot Put","Sydney"
"9105","HUN","Silver",1952,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Helsinki"
"9106","RUS","Silver",2008,"Diving","Diving Men's Synchronized Springboard","Beijing"
"9107","INA","Bronze",2004,"Badminton","Badminton Men's Singles","Athina"
"9108","GDR","Silver",1980,"Weightlifting","Weightlifting Men's Lightweight","Moskva"
"9109","GDR","Gold",1988,"Weightlifting","Weightlifting Men's Lightweight","Seoul"
"9110","GDR","Bronze",1988,"Athletics","Athletics Men's 5,000 metres","Seoul"
"9111","TPE","Bronze",2016,"Weightlifting","Weightlifting Women's Lightweight","Rio de Janeiro"
"9112","TPE","Bronze",2000,"Weightlifting","Weightlifting Women's Heavyweight","Sydney"
"9113","USA","Bronze",2004,"Gymnastics","Gymnastics Women's Uneven Bars","Athina"
"9114","GER","Silver",2000,"Cycling","Cycling Women's Road Race, Individual","Sydney"
"9115","GER","Silver",1956,"Equestrianism","Equestrianism Mixed Dressage, Team","Stockholm"
"9116","URS","Bronze",1980,"Athletics","Athletics Women's Pentathlon","Moskva"
"9117","RUS","Bronze",2012,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","London"
"9118","JPN","Silver",1976,"Judo","Judo Men's Half-Middleweight","Montreal"
"9119","URS","Silver",1964,"Weightlifting","Weightlifting Men's Middleweight","Tokyo"
"9120","URS","Gold",1968,"Weightlifting","Weightlifting Men's Middleweight","Mexico City"
"9121","TCH","Gold",1968,"Shooting","Shooting Mixed Small-Bore Rifle, Prone, 50 metres","Mexico City"
"9122","CZE","Bronze",2004,"Shooting","Shooting Women's Air Rifle, 10 metres","Athina"
"9123","CZE","Gold",2008,"Shooting","Shooting Women's Air Rifle, 10 metres","Beijing"
"9124","CZE","Silver",2008,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Beijing"
"9125","DEN","Silver",1932,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Los Angeles"
"9126","URS","Gold",1988,"Weightlifting","Weightlifting Men's Super-Heavyweight","Seoul"
"9127","EUN","Gold",1992,"Weightlifting","Weightlifting Men's Super-Heavyweight","Barcelona"
"9128","SUI","Bronze",1968,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Mexico City"
"9129","SUI","Silver",1972,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Munich"
"9130","GER","Silver",1956,"Boxing","Boxing Men's Lightweight","Melbourne"
"9131","USA","Bronze",1932,"Diving","Diving Men's Platform","Los Angeles"
"9132","URS","Gold",1960,"Weightlifting","Weightlifting Men's Middleweight","Roma"
"9133","GER","Gold",2004,"Shooting","Shooting Men's Running Target, 10 metres","Athina"
"9134","JPN","Bronze",2000,"Judo","Judo Women's Lightweight","Sydney"
"9135","EST","Bronze",1928,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Amsterdam"
"9136","POL","Gold",1932,"Athletics","Athletics Men's 10,000 metres","Los Angeles"
"9137","POL","Silver",1956,"Fencing","Fencing Men's Sabre, Team","Melbourne"
"9138","POL","Silver",1960,"Fencing","Fencing Men's Sabre, Team","Roma"
"9139","POL","Gold",1996,"Sailing","Sailing Men's One Person Dinghy","Atlanta"
"9140","POL","Bronze",2004,"Sailing","Sailing Men's One Person Dinghy","Athina"
"9141","URS","Gold",1956,"Athletics","Athletics Men's 5,000 metres","Melbourne"
"9142","URS","Gold",1956,"Athletics","Athletics Men's 10,000 metres","Melbourne"
"9143","GER","Bronze",2004,"Equestrianism","Equestrianism Mixed Jumping, Individual","Athina"
"9144","AUT","Gold",1936,"Art Competitions","Art Competitions Mixed Architecture, Architectural Designs","Berlin"
"9145","EUN","Gold",1992,"Wrestling","Wrestling Men's Light-Flyweight, Greco-Roman","Barcelona"
"9146","URS","Silver",1980,"Athletics","Athletics Men's Decathlon","Moskva"
"9147","RUS","Bronze",1912,"Rowing","Rowing Men's Single Sculls","Stockholm"
"9148","RUS","Silver",2000,"Athletics","Athletics Women's Hammer Throw","Sydney"
"9149","RUS","Gold",2004,"Athletics","Athletics Women's Hammer Throw","Athina"
"9150","URS","Gold",1988,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Seoul"
"9151","LAT","Silver",1992,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Barcelona"
"9152","URS","Gold",1972,"Boxing","Boxing Men's Featherweight","Munich"
"9153","URS","Bronze",1956,"Fencing","Fencing Men's Sabre, Individual","Melbourne"
"9154","RUS","Bronze",2008,"Canoeing","Canoeing Men's Canadian Doubles, Slalom","Beijing"
"9155","URS","Gold",1988,"Weightlifting","Weightlifting Men's Heavyweight I","Seoul"
"9156","URS","Bronze",1956,"Athletics","Athletics Men's Decathlon","Melbourne"
"9157","URS","Bronze",1960,"Athletics","Athletics Men's Decathlon","Roma"
"9158","URS","Silver",1980,"Swimming","Swimming Men's 100 metres Backstroke","Moskva"
"9159","URS","Silver",1972,"Judo","Judo Men's Open Class","Munich"
"9160","RUS","Silver",2012,"Diving","Diving Men's Synchronized Springboard","London"
"9161","URS","Silver",1968,"Diving","Diving Women's Platform","Mexico City"
"9162","RUS","Bronze",2016,"Judo","Judo Women's Half-Lightweight","Rio de Janeiro"
"9163","GEO","Gold",2008,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Beijing"
"9164","UKR","Bronze",2008,"Diving","Diving Men's Synchronized Springboard","Beijing"
"9165","URS","Silver",1964,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Tokyo"
"9166","CZE","Bronze",2016,"Tennis","Tennis Women's Singles","Rio de Janeiro"
"9167","POL","Bronze",1936,"Athletics","Athletics Women's Javelin Throw","Berlin"
"9168","POL","Bronze",1972,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Munich"
"9169","POL","Bronze",1976,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Montreal"
"9170","SUI","Gold",1928,"Wrestling","Wrestling Men's Middleweight, Freestyle","Amsterdam"
"9171","PRK","Gold",1996,"Judo","Judo Women's Extra-Lightweight","Atlanta"
"9172","PRK","Bronze",2000,"Judo","Judo Women's Half-Lightweight","Sydney"
"9173","PRK","Silver",2004,"Judo","Judo Women's Lightweight","Athina"
"9174","USA","Silver",2012,"Athletics","Athletics Men's High Jump","London"
"9175","GBR","Bronze",1972,"Shooting","Shooting Mixed Running Target, 50 metres","Munich"
"9176","EUN","Bronze",1992,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Barcelona"
"9177","URS","Gold",1980,"Athletics","Athletics Men's Shot Put","Moskva"
"9178","CUB","Gold",2016,"Boxing","Boxing Men's Light-Heavyweight","Rio de Janeiro"
"9179","FIN","Bronze",1972,"Archery","Archery Men's Individual","Munich"
"9180","USA","Gold",1924,"Boxing","Boxing Men's Flyweight","Paris"
"9181","PAN","Bronze",1948,"Athletics","Athletics Men's 100 metres","London"
"9182","PAN","Bronze",1948,"Athletics","Athletics Men's 200 metres","London"
"9183","USA","Silver",1932,"Athletics","Athletics Men's Discus Throw","Los Angeles"
"9184","CUB","Bronze",2004,"Judo","Judo Women's Half-Heavyweight","Athina"
"9185","CUB","Silver",2004,"Taekwondo","Taekwondo Women's Flyweight","Athina"
"9186","DEN","Silver",1948,"Fencing","Fencing Women's Foil, Individual","London"
"9187","DEN","Bronze",1952,"Fencing","Fencing Women's Foil, Individual","Helsinki"
"9188","USA","Gold",1924,"Swimming","Swimming Women's 100 metres Freestyle","Paris"
"9189","FRA","Silver",1972,"Fencing","Fencing Men's epee, Individual","Munich"
"9190","FRA","Silver",1928,"Athletics","Athletics Men's 1,500 metres","Amsterdam"
"9191","GER","Bronze",1928,"Art Competitions","Art Competitions Mixed Architecture, Designs For Town Planning","Amsterdam"
"9192","CUB","Silver",2008,"Boxing","Boxing Men's Flyweight","Beijing"
"9193","KEN","Bronze",2000,"Athletics","Athletics Men's 1,500 metres","Sydney"
"9194","KEN","Silver",2004,"Athletics","Athletics Men's 1,500 metres","Athina"
"9195","NED","Bronze",1960,"Swimming","Swimming Women's 400 metres Freestyle","Roma"
"9196","URS","Bronze",1956,"Boxing","Boxing Men's Lightweight","Melbourne"
"9197","FRA","Gold",2016,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Rio de Janeiro"
"9198","URS","Bronze",1960,"Boxing","Boxing Men's Light-Middleweight","Roma"
"9199","URS","Gold",1964,"Boxing","Boxing Men's Light-Middleweight","Tokyo"
"9200","URS","Gold",1968,"Boxing","Boxing Men's Light-Middleweight","Mexico City"
"9201","MAR","Bronze",2000,"Athletics","Athletics Men's 5,000 metres","Sydney"
"9202","FIN","Bronze",1920,"Athletics","Athletics Men's Pentathlon","Antwerpen"
"9203","CHN","Silver",1984,"Weightlifting","Weightlifting Men's Bantamweight","Los Angeles"
"9204","FIN","Silver",1968,"Gymnastics","Gymnastics Men's Pommelled Horse","Mexico City"
"9205","JAM","Gold",1952,"Athletics","Athletics Men's 4 x 400 metres Relay","Helsinki"
"9206","USA","Silver",1996,"Shooting","Shooting Men's Trap","Atlanta"
"9207","USA","Bronze",1900,"Cycling","Cycling Men's Sprint","Paris"
"9208","KAZ","Silver",2004,"Wrestling","Wrestling Men's Middleweight, Freestyle","Athina"
"9209","CAN","Gold",2008,"Equestrianism","Equestrianism Mixed Jumping, Individual","Beijing"
"9210","CAN","Bronze",2016,"Equestrianism","Equestrianism Mixed Jumping, Individual","Rio de Janeiro"
"9211","FRA","Silver",1928,"Art Competitions","Art Competitions Mixed Architecture, Designs For Town Planning","Amsterdam"
"9212","FRA","Bronze",1928,"Art Competitions","Art Competitions Mixed Architecture, Architectural Designs","Amsterdam"
"9213","GBR","Gold",1908,"Tennis","Tennis Women's Singles","London"
"9214","ITA","Bronze",1996,"Athletics","Athletics Men's 3,000 metres Steeplechase","Atlanta"
"9215","GER","Bronze",1928,"Athletics","Athletics Men's 100 metres","Amsterdam"
"9216","FRA","Gold",1984,"Fencing","Fencing Men's Sabre, Individual","Los Angeles"
"9217","FRA","Gold",1988,"Fencing","Fencing Men's Sabre, Individual","Seoul"
"9218","FRA","Bronze",1992,"Fencing","Fencing Men's Sabre, Individual","Barcelona"
"9219","FRG","Bronze",1972,"Swimming","Swimming Men's 200 metres Freestyle","Munich"
"9220","AUS","Bronze",1968,"Athletics","Athletics Women's 200 metres","Mexico City"
"9221","GBR","Gold",1920,"Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Antwerpen"
"9222","SWE","Silver",1920,"Shooting","Shooting Men's Running Target, Double Shot","Antwerpen"
"9223","AUS","Silver",1984,"Swimming","Swimming Women's 400 metres Individual Medley","Los Angeles"
"9224","GER","Gold",1936,"Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres","Berlin"
"9225","AUT","Silver",1936,"Canoeing","Canoeing Men's Kayak Singles, 10,000 metres","Berlin"
"9226","ARG","Silver",1928,"Boxing","Boxing Men's Welterweight","Amsterdam"
"9227","USA","Gold",1920,"Athletics","Athletics Men's High Jump","Antwerpen"
"9228","FRA","Gold",1928,"Art Competitions","Art Competitions Mixed Sculpturing, Statues","Amsterdam"
"9229","FIN","Bronze",1960,"Athletics","Athletics Men's Pole Vault","Roma"
"9230","GDR","Gold",1976,"Rowing","Rowing Men's Coxless Pairs","Montreal"
"9231","GDR","Gold",1980,"Rowing","Rowing Men's Coxless Pairs","Moskva"
"9232","AUS","Bronze",1956,"Athletics","Athletics Men's 1,500 metres","Melbourne"
"9233","USA","Gold",1912,"Shooting","Shooting Men's Free Pistol, 50 metres","Stockholm"
"9234","USA","Gold",1912,"Shooting","Shooting Men's Dueling Pistol, 30 metres","Stockholm"
"9235","USA","Bronze",1920,"Shooting","Shooting Men's Free Pistol, 50 metres","Antwerpen"
"9236","USA","Bronze",1896,"Athletics","Athletics Men's 100 metres","Athina"
"9237","AUS","Gold",1900,"Swimming","Swimming Men's 200 metres Freestyle","Paris"
"9238","AUS","Gold",1900,"Swimming","Swimming Men's 200 metres Obstacle Course","Paris"
"9239","CAN","Bronze",1948,"Canoeing","Canoeing Men's Canadian Singles, 10,000 metres","London"
"9240","POL","Silver",1980,"Cycling","Cycling Men's Road Race, Individual","Moskva"
"9241","DEN","Bronze",2012,"Sailing","Sailing Men's Skiff","London"
"9242","KEN","Gold",2008,"Athletics","Athletics Women's 1,500 metres","Beijing"
"9243","POL","Silver",1924,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Paris"
"9244","GDR","Silver",1968,"Athletics","Athletics Women's Shot Put","Mexico City"
"9245","GDR","Gold",1988,"Rowing","Rowing Men's Single Sculls","Seoul"
"9246","GER","Gold",1992,"Rowing","Rowing Men's Single Sculls","Barcelona"
"9247","GER","Bronze",1996,"Rowing","Rowing Men's Single Sculls","Atlanta"
"9248","POL","Bronze",1980,"Athletics","Athletics Women's 100 metres Hurdles","Moskva"
"9249","USA","Silver",1920,"Swimming","Swimming Men's 400 metres Freestyle","Antwerpen"
"9250","LTU","Bronze",2016,"Canoeing","Canoeing Men's Kayak Doubles, 200 metres","Rio de Janeiro"
"9251","NED","Gold",1992,"Equestrianism","Equestrianism Mixed Jumping, Team","Barcelona"
"9252","ITA","Silver",1936,"Athletics","Athletics Men's 800 metres","Berlin"
"9253","CHN","Silver",2004,"Diving","Diving Women's Platform","Athina"
"9254","CHN","Gold",2004,"Diving","Diving Women's Synchronized Platform","Athina"
"9255","FRA","Silver",1936,"Cycling","Cycling Men's Road Race, Individual","Berlin"
"9256","RUS","Bronze",2008,"Weightlifting","Weightlifting Men's Heavyweight","Beijing"
"9257","FRA","Bronze",1908,"Cycling","Cycling Men's 100 kilometres","London"
"9258","URS","Silver",1988,"Athletics","Athletics Men's Triple Jump","Seoul"
"9259","CUB","Silver",1992,"Weightlifting","Weightlifting Men's Middleweight","Barcelona"
"9260","CUB","Gold",1996,"Weightlifting","Weightlifting Men's Middleweight","Atlanta"
"9261","CAN","Gold",2000,"Tennis","Tennis Men's Doubles","Sydney"
"9262","KAZ","Bronze",2016,"Wrestling","Wrestling Women's Middleweight, Freestyle","Rio de Janeiro"
"9263","AUS","Silver",2016,"Swimming","Swimming Men's 200 metres Backstroke","Rio de Janeiro"
"9264","GBR","Gold",1908,"Athletics","Athletics Men's 3,500 metres Walk","London"
"9265","GBR","Gold",1908,"Athletics","Athletics Men's 10 mile Walk","London"
"9266","FRA","Bronze",1952,"Fencing","Fencing Men's Sabre, Team","Helsinki"
"9267","USA","Gold",1964,"Athletics","Athletics Men's 400 metres","Tokyo"
"9268","FRA","Silver",1906,"Rowing","Rowing Men's Single Sculls","Athina"
"9269","DEN","Silver",1948,"Rowing","Rowing Men's Double Sculls","London"
"9270","NOR","Bronze",1908,"Athletics","Athletics Men's Triple Jump","London"
"9271","NOR","Gold",2004,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Athina"
"9272","NOR","Silver",2008,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Beijing"
"9273","NOR","Gold",2012,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","London"
"9274","NOR","Bronze",1956,"Athletics","Athletics Men's 3,000 metres Steeplechase","Melbourne"
"9275","DEN","Silver",1936,"Rowing","Rowing Men's Coxless Pairs","Berlin"
"9276","DEN","Bronze",1912,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Stockholm"
"9277","DEN","Silver",1920,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Antwerpen"
"9278","DEN","Gold",1920,"Shooting","Shooting Men's Military Rifle, Standing, 300 metres, Team","Antwerpen"
"9279","DEN","Bronze",1924,"Shooting","Shooting Men's Free Rifle, Prone, 600 metres","Paris"
"9280","NOR","Gold",1952,"Shooting","Shooting Men's Running Target, Single And Double Shot","Helsinki"
"9281","USA","Silver",1960,"Swimming","Swimming Men's 100 metres Freestyle","Roma"
"9282","SWE","Gold",1920,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Antwerpen"
"9283","SWE","Bronze",1952,"Swimming","Swimming Men's 100 metres Freestyle","Helsinki"
"9284","SWE","Gold",1972,"Swimming","Swimming Men's 200 metres Individual Medley","Munich"
"9285","SWE","Gold",1972,"Swimming","Swimming Men's 400 metres Individual Medley","Munich"
"9286","SWE","Silver",2008,"Cycling","Cycling Men's Individual Time Trial","Beijing"
"9287","SWE","Bronze",1948,"Athletics","Athletics Men's 400 metres Hurdles","London"
"9288","FIN","Gold",1928,"Athletics","Athletics Men's 1,500 metres","Amsterdam"
"9289","BLR","Bronze",2000,"Judo","Judo Men's Lightweight","Sydney"
"9290","FIN","Bronze",1912,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","Stockholm"
"9291","IRI","Bronze",2012,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","London"
"9292","GEO","Silver",2012,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","London"
"9293","EUN","Silver",1992,"Diving","Diving Women's Springboard","Barcelona"
"9294","RUS","Silver",1996,"Diving","Diving Women's Springboard","Atlanta"
"9295","AUS","Bronze",2004,"Diving","Diving Women's Synchronized Springboard","Athina"
"9296","RUS","Gold",2012,"Athletics","Athletics Women's 20 kilometres Walk","London"
"9297","RUS","Silver",1996,"Athletics","Athletics Women's Triple Jump","Atlanta"
"9298","NZL","Silver",1992,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Barcelona"
"9299","ITA","Bronze",1932,"Gymnastics","Gymnastics Men's Rings","Los Angeles"
"9300","URS","Gold",1956,"Gymnastics","Gymnastics Women's Individual All-Around","Melbourne"
"9301","URS","Gold",1956,"Gymnastics","Gymnastics Women's Floor Exercise","Melbourne"
"9302","URS","Gold",1956,"Gymnastics","Gymnastics Women's Horse Vault","Melbourne"
"9303","URS","Silver",1956,"Gymnastics","Gymnastics Women's Uneven Bars","Melbourne"
"9304","URS","Gold",1960,"Gymnastics","Gymnastics Women's Individual All-Around","Roma"
"9305","URS","Gold",1960,"Gymnastics","Gymnastics Women's Floor Exercise","Roma"
"9306","URS","Bronze",1960,"Gymnastics","Gymnastics Women's Horse Vault","Roma"
"9307","URS","Silver",1960,"Gymnastics","Gymnastics Women's Uneven Bars","Roma"
"9308","URS","Silver",1960,"Gymnastics","Gymnastics Women's Balance Beam","Roma"
"9309","URS","Silver",1964,"Gymnastics","Gymnastics Women's Individual All-Around","Tokyo"
"9310","URS","Gold",1964,"Gymnastics","Gymnastics Women's Floor Exercise","Tokyo"
"9311","URS","Silver",1964,"Gymnastics","Gymnastics Women's Horse Vault","Tokyo"
"9312","URS","Bronze",1964,"Gymnastics","Gymnastics Women's Uneven Bars","Tokyo"
"9313","URS","Bronze",1964,"Gymnastics","Gymnastics Women's Balance Beam","Tokyo"
"9314","GDR","Gold",1980,"Rowing","Rowing Women's Coxed Quadruple Sculls","Moskva"
"9315","FRA","Gold",1952,"Canoeing","Canoeing Men's Canadian Doubles, 10,000 metres","Helsinki"
"9316","ARG","Bronze",1960,"Boxing","Boxing Men's Lightweight","Roma"
"9317","ROU","Silver",1964,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Tokyo"
"9318","ROU","Bronze",1964,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Tokyo"
"9319","USA","Silver",1928,"Swimming","Swimming Men's 100 metres Backstroke","Amsterdam"
"9320","GER","Bronze",1960,"Athletics","Athletics Women's Long Jump","Roma"
"9321","GBR","Silver",2016,"Diving","Diving Men's Springboard","Rio de Janeiro"
"9322","GBR","Gold",2016,"Diving","Diving Men's Synchronized Springboard","Rio de Janeiro"
"9323","CAN","Bronze",1984,"Rowing","Rowing Women's Double Sculls","Los Angeles"
"9324","CAN","Bronze",1992,"Rowing","Rowing Women's Single Sculls","Barcelona"
"9325","CAN","Silver",1996,"Rowing","Rowing Women's Single Sculls","Atlanta"
"9326","FRA","Bronze",1900,"Fencing","Fencing Men's epee, Masters, Individual","Paris"
"9327","ITA","Bronze",1948,"Art Competitions","Art Competitions Mixed Music, Instrumental And Chamber","London"
"9328","USA","Bronze",1936,"Boxing","Boxing Men's Flyweight","Berlin"
"9329","GBR","Gold",1948,"Rowing","Rowing Men's Coxless Pairs","London"
"9330","SWE","Silver",1936,"Sailing","Sailing Mixed Two Person Keelboat","Berlin"
"9331","NOR","Bronze",1984,"Cycling","Cycling Men's Road Race, Individual","Los Angeles"
"9332","USA","Bronze",1984,"Athletics","Athletics Men's Shot Put","Los Angeles"
"9333","AUS","Bronze",2008,"Swimming","Swimming Men's 100 metres Butterfly","Beijing"
"9334","GBR","Silver",1928,"Cycling","Cycling Men's Road Race, Team","Amsterdam"
"9335","GBR","Bronze",2004,"Rowing","Rowing Women's Double Sculls","Athina"
"9336","SUI","Gold",1912,"Art Competitions","Art Competitions Mixed Architecture","Stockholm"
"9337","FRA","Gold",2012,"Athletics","Athletics Men's Pole Vault","London"
"9338","FRA","Silver",2016,"Athletics","Athletics Men's Pole Vault","Rio de Janeiro"
"9339","AUS","Silver",1960,"Equestrianism","Equestrianism Men's Three-Day Event, Individual","Roma"
"9340","BLR","Bronze",2000,"Weightlifting","Weightlifting Men's Lightweight","Sydney"
"9341","GBR","Gold",2004,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Athina"
"9342","AUS","Bronze",1956,"Athletics","Athletics Men's 10,000 metres","Melbourne"
"9343","AUS","Silver",2008,"Canoeing","Canoeing Women's Kayak Singles, Slalom","Beijing"
"9344","JAM","Silver",2000,"Athletics","Athletics Women's 100 metres","Sydney"
"9345","USA","Silver",1936,"Art Competitions","Art Competitions Mixed Architecture, Designs For Town Planning","Berlin"
"9346","USA","Silver",1952,"Athletics","Athletics Men's Pole Vault","Helsinki"
"9347","URS","Bronze",1972,"Gymnastics","Gymnastics Women's Individual All-Around","Munich"
"9348","URS","Bronze",1972,"Gymnastics","Gymnastics Women's Floor Exercise","Munich"
"9349","URS","Silver",1972,"Gymnastics","Gymnastics Women's Balance Beam","Munich"
"9350","GRE","Silver",1906,"Tug-Of-War","Tug-Of-War Men's Tug-Of-War","Athina"
"9351","TPE","Bronze",2016,"Archery","Archery Women's Team","Rio de Janeiro"
"9352","CHN","Silver",1992,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Barcelona"
"9353","CHN","Silver",1996,"Swimming","Swimming Women's 50 metres Freestyle","Atlanta"
"9354","CHN","Gold",1996,"Swimming","Swimming Women's 100 metres Freestyle","Atlanta"
"9355","CHN","Silver",2004,"Weightlifting","Weightlifting Men's Featherweight","Athina"
"9356","RSA","Silver",2012,"Swimming","Swimming Men's 100 metres Butterfly","London"
"9357","RSA","Gold",2012,"Swimming","Swimming Men's 200 metres Butterfly","London"
"9358","RSA","Silver",2016,"Swimming","Swimming Men's 200 metres Freestyle","Rio de Janeiro"
"9359","RSA","Silver",2016,"Swimming","Swimming Men's 100 metres Butterfly","Rio de Janeiro"
"9360","FRA","Bronze",2016,"Sailing","Sailing Men's Windsurfer","Rio de Janeiro"
"9361","FRA","Silver",2008,"Cycling","Cycling Women's BMX","Beijing"
"9362","BEL","Bronze",1912,"Fencing","Fencing Men's epee, Individual","Stockholm"
"9363","NED","Bronze",1928,"Equestrianism","Equestrianism Men's Dressage, Team","Amsterdam"
"9364","FRA","Gold",2004,"Gymnastics","Gymnastics Women's Uneven Bars","Athina"
"9365","GBR","Silver",1908,"Racquets","Racquets Men's Singles","London"
"9366","GBR","Bronze",1908,"Racquets","Racquets Men's Doubles","London"
"9367","GBR","Gold",1906,"Athletics","Athletics Men's High Jump","Athina"
"9368","GBR","Silver",1906,"Athletics","Athletics Men's Triple Jump","Athina"
"9369","GBR","Silver",1908,"Athletics","Athletics Men's High Jump","London"
"9370","GBR","Silver",1900,"Athletics","Athletics Men's High Jump","Paris"
"9371","GBR","Bronze",1900,"Athletics","Athletics Men's Long Jump","Paris"
"9372","USA","Bronze",1952,"Rowing","Rowing Men's Coxed Fours","Helsinki"
"9373","USA","Silver",1904,"Swimming","Swimming Men's 50 yard Freestyle","St. Louis"
"9374","USA","Bronze",1904,"Swimming","Swimming Men's 100 yard Freestyle","St. Louis"
"9375","USA","Gold",1906,"Athletics","Athletics Men's 110 metres Hurdles","Athina"
"9376","FRA","Silver",1980,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Moskva"
"9377","URS","Bronze",1976,"Athletics","Athletics Women's 100 metres Hurdles","Montreal"
"9378","RUS","Silver",2000,"Athletics","Athletics Women's Triple Jump","Sydney"
"9379","RUS","Gold",2004,"Athletics","Athletics Women's Long Jump","Athina"
"9380","RUS","Bronze",2004,"Athletics","Athletics Women's Triple Jump","Athina"
"9381","RUS","Silver",2008,"Athletics","Athletics Women's Long Jump","Beijing"
"9382","RUS","Silver",2008,"Athletics","Athletics Women's Triple Jump","Beijing"
"9383","CAN","Silver",1992,"Athletics","Athletics Men's 20 kilometres Walk","Barcelona"
"9384","FRA","Silver",2000,"Judo","Judo Women's Half-Heavyweight","Sydney"
"9385","FRA","Gold",1932,"Sailing","Sailing Mixed One Person Dinghy","Los Angeles"
"9386","RUS","Gold",2000,"Boxing","Boxing Men's Light-Heavyweight","Sydney"
"9387","BUL","Silver",1988,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Seoul"
"9388","BUL","Silver",1992,"Shooting","Shooting Women's Air Rifle, 10 metres","Barcelona"
"9389","FRG","Bronze",1988,"Cycling","Cycling Men's 1,000 metres Time Trial","Seoul"
"9390","GER","Gold",2016,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Rio de Janeiro"
"9391","FRA","Gold",1906,"Shooting","Shooting Men's Free Pistol, 25 metres","Athina"
"9392","FRA","Bronze",1906,"Shooting","Shooting Men's Dueling Pistol Au Vise 20 metres","Athina"
"9393","USA","Silver",1992,"Sailing","Sailing Men's One Person Dinghy","Barcelona"
"9394","USA","Gold",2012,"Swimming","Swimming Women's 800 metres Freestyle","London"
"9395","USA","Gold",2016,"Swimming","Swimming Women's 200 metres Freestyle","Rio de Janeiro"
"9396","USA","Gold",2016,"Swimming","Swimming Women's 400 metres Freestyle","Rio de Janeiro"
"9397","USA","Gold",2016,"Swimming","Swimming Women's 800 metres Freestyle","Rio de Janeiro"
