"","NOC","Medal","Year","Sport","Event","City"
"14167","ROU","Silver",1984,"Gymnastics","Gymnastics Women's Individual All-Around","Los Angeles"
"14168","ROU","Gold",1984,"Gymnastics","Gymnastics Women's Floor Exercise","Los Angeles"
"14169","ROU","Gold",1984,"Gymnastics","Gymnastics Women's Horse Vault","Los Angeles"
"14170","ROU","Silver",1996,"Athletics","Athletics Women's 1,500 metres","Atlanta"
"14171","ROU","Bronze",2000,"Athletics","Athletics Women's 1,500 metres","Sydney"
"14172","ROU","Gold",2000,"Athletics","Athletics Women's 5,000 metres","Sydney"
"14173","HUN","Gold",1988,"Swimming","Swimming Men's 200 metres Breaststroke","Seoul"
"14174","HUN","Silver",1992,"Swimming","Swimming Women's 100 metres Backstroke","Barcelona"
"14175","HUN","Bronze",1980,"Weightlifting","Weightlifting Men's Heavyweight II","Moskva"
"14176","HUN","Bronze",1996,"Fencing","Fencing Women's epee, Individual","Atlanta"
"14177","HUN","Gold",2016,"Fencing","Fencing Women's epee, Individual","Rio de Janeiro"
"14178","POL","Silver",1996,"Judo","Judo Women's Middleweight","Atlanta"
"14179","POL","Gold",1972,"Boxing","Boxing Men's Lightweight","Munich"
"14180","POL","Bronze",1976,"Boxing","Boxing Men's Light-Welterweight","Montreal"
"14181","POL","Bronze",1980,"Boxing","Boxing Men's Welterweight","Moskva"
"14182","HUN","Gold",1952,"Swimming","Swimming Women's 200 metres Breaststroke","Helsinki"
"14183","HUN","Silver",1956,"Swimming","Swimming Women's 200 metres Breaststroke","Melbourne"
"14184","HUN","Bronze",1948,"Rowing","Rowing Men's Coxed Pairs","London"
"14185","HUN","Silver",1928,"Athletics","Athletics Men's Javelin Throw","Amsterdam"
"14186","POL","Silver",1964,"Athletics","Athletics Women's 200 metres","Tokyo"
"14187","POL","Silver",1964,"Athletics","Athletics Women's Long Jump","Tokyo"
"14188","POL","Bronze",1968,"Athletics","Athletics Women's 100 metres","Mexico City"
"14189","POL","Gold",1968,"Athletics","Athletics Women's 200 metres","Mexico City"
"14190","POL","Bronze",1972,"Athletics","Athletics Women's 200 metres","Munich"
"14191","POL","Gold",1976,"Athletics","Athletics Women's 400 metres","Montreal"
"14192","HUN","Gold",2012,"Fencing","Fencing Men's Sabre, Individual","London"
"14193","HUN","Gold",2016,"Fencing","Fencing Men's Sabre, Individual","Rio de Janeiro"
"14194","HUN","Silver",1948,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","London"
"14195","HUN","Gold",1952,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Helsinki"
"14196","POL","Gold",1960,"Athletics","Athletics Men's Triple Jump","Roma"
"14197","POL","Gold",1964,"Athletics","Athletics Men's Triple Jump","Tokyo"
"14198","HUN","Gold",1952,"Swimming","Swimming Women's 100 metres Freestyle","Helsinki"
"14199","HUN","Bronze",1896,"Athletics","Athletics Men's 100 metres","Athina"
"14200","HUN","Silver",1960,"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres","Roma"
"14201","HUN","Silver",1980,"Modern Pentathlon","Modern Pentathlon Men's Individual","Moskva"
"14202","HUN","Bronze",1952,"Modern Pentathlon","Modern Pentathlon Men's Individual","Helsinki"
"14203","HUN","Silver",1976,"Canoeing","Canoeing Men's Kayak Singles, 500 metres","Montreal"
"14204","HUN","Gold",1906,"Athletics","Athletics Men's 3,000 metres Walk","Athina"
"14205","HUN","Silver",1972,"Weightlifting","Weightlifting Men's Flyweight","Munich"
"14206","POL","Silver",1992,"Swimming","Swimming Men's 100 metres Butterfly","Barcelona"
"14207","POL","Silver",1972,"Archery","Archery Women's Individual","Munich"
"14208","TCH","Bronze",1980,"Gymnastics","Gymnastics Men's Rings","Moskva"
